Event,Latitude,Longitude,Depth [m],Symbiosis,Spine,Relative Abundance
GeoB1008-3,-6.5823,10.3186,2.18,symbiont-barren,non-spinose,0.13899999999999998
GeoB1008-3,-6.5823,10.3186,2.18,symbiont-barren,spinose,0.4131
GeoB1008-3,-6.5823,10.3186,2.18,symbiont-bearing,non-spinose,0
GeoB1008-3,-6.5823,10.3186,2.18,symbiont-bearing,spinose,7.000000000000001e-4
GeoB1008-3,-6.5823,10.3186,2.18,symbiont-facultative,non-spinose,0.2693
GeoB1008-3,-6.5823,10.3186,2.18,symbiont-facultative,spinose,0
GeoB1008-3,-6.5823,10.3186,2.18,symbiont-obligate,spinose,0.1778
GeoB1008-3,-6.5823,10.3186,2.18,undetermined,non-spinose,0
GeoB1008-3,-6.5823,10.3186,2.23,symbiont-barren,non-spinose,0.1867
GeoB1008-3,-6.5823,10.3186,2.23,symbiont-barren,spinose,0.20450000000000002
GeoB1008-3,-6.5823,10.3186,2.23,symbiont-bearing,non-spinose,0
GeoB1008-3,-6.5823,10.3186,2.23,symbiont-bearing,spinose,0
GeoB1008-3,-6.5823,10.3186,2.23,symbiont-facultative,non-spinose,0.4367
GeoB1008-3,-6.5823,10.3186,2.23,symbiont-facultative,spinose,0
GeoB1008-3,-6.5823,10.3186,2.23,symbiont-obligate,spinose,0.16549999999999998
GeoB1008-3,-6.5823,10.3186,2.23,undetermined,non-spinose,0.006500000000000001
GeoB1008-3,-6.5823,10.3186,2.28,symbiont-barren,non-spinose,0.1271
GeoB1008-3,-6.5823,10.3186,2.28,symbiont-barren,spinose,0.3633
GeoB1008-3,-6.5823,10.3186,2.28,symbiont-bearing,non-spinose,0
GeoB1008-3,-6.5823,10.3186,2.28,symbiont-bearing,spinose,0.006
GeoB1008-3,-6.5823,10.3186,2.28,symbiont-facultative,non-spinose,0.3662
GeoB1008-3,-6.5823,10.3186,2.28,symbiont-facultative,spinose,0
GeoB1008-3,-6.5823,10.3186,2.28,symbiont-obligate,spinose,0.1361
GeoB1008-3,-6.5823,10.3186,2.28,undetermined,non-spinose,0.0015
GeoB1008-3,-6.5823,10.3186,2.33,symbiont-barren,non-spinose,0.237
GeoB1008-3,-6.5823,10.3186,2.33,symbiont-barren,spinose,0.1996
GeoB1008-3,-6.5823,10.3186,2.33,symbiont-bearing,non-spinose,0
GeoB1008-3,-6.5823,10.3186,2.33,symbiont-bearing,spinose,0
GeoB1008-3,-6.5823,10.3186,2.33,symbiont-facultative,non-spinose,0.38249999999999995
GeoB1008-3,-6.5823,10.3186,2.33,symbiont-facultative,spinose,0
GeoB1008-3,-6.5823,10.3186,2.33,symbiont-obligate,spinose,0.17079999999999998
GeoB1008-3,-6.5823,10.3186,2.33,undetermined,non-spinose,0.009899999999999999
GeoB1008-3,-6.5823,10.3186,2.38,symbiont-barren,non-spinose,0.23420000000000002
GeoB1008-3,-6.5823,10.3186,2.38,symbiont-barren,spinose,0.20450000000000002
GeoB1008-3,-6.5823,10.3186,2.38,symbiont-bearing,non-spinose,0
GeoB1008-3,-6.5823,10.3186,2.38,symbiont-bearing,spinose,0
GeoB1008-3,-6.5823,10.3186,2.38,symbiont-facultative,non-spinose,0.3432
GeoB1008-3,-6.5823,10.3186,2.38,symbiont-facultative,spinose,0
GeoB1008-3,-6.5823,10.3186,2.38,symbiont-obligate,spinose,0.20909999999999998
GeoB1008-3,-6.5823,10.3186,2.38,undetermined,non-spinose,0.0091
GeoB1008-3,-6.5823,10.3186,2.43,symbiont-barren,non-spinose,0.22060000000000002
GeoB1008-3,-6.5823,10.3186,2.43,symbiont-barren,spinose,0.2753
GeoB1008-3,-6.5823,10.3186,2.43,symbiont-bearing,non-spinose,0
GeoB1008-3,-6.5823,10.3186,2.43,symbiont-bearing,spinose,0
GeoB1008-3,-6.5823,10.3186,2.43,symbiont-facultative,non-spinose,0.1593
GeoB1008-3,-6.5823,10.3186,2.43,symbiont-facultative,spinose,0
GeoB1008-3,-6.5823,10.3186,2.43,symbiont-obligate,spinose,0.3201
GeoB1008-3,-6.5823,10.3186,2.43,undetermined,non-spinose,0.024900000000000002
GeoB1008-3,-6.5823,10.3186,2.48,symbiont-barren,non-spinose,0.14150000000000001
GeoB1008-3,-6.5823,10.3186,2.48,symbiont-barren,spinose,0.22170000000000004
GeoB1008-3,-6.5823,10.3186,2.48,symbiont-bearing,non-spinose,0
GeoB1008-3,-6.5823,10.3186,2.48,symbiont-bearing,spinose,0
GeoB1008-3,-6.5823,10.3186,2.48,symbiont-facultative,non-spinose,0.1509
GeoB1008-3,-6.5823,10.3186,2.48,symbiont-facultative,spinose,0
GeoB1008-3,-6.5823,10.3186,2.48,symbiont-obligate,spinose,0.43389999999999995
GeoB1008-3,-6.5823,10.3186,2.48,undetermined,non-spinose,0.0519
GeoB1008-3,-6.5823,10.3186,2.53,symbiont-barren,non-spinose,0.226
GeoB1008-3,-6.5823,10.3186,2.53,symbiont-barren,spinose,0.3979
GeoB1008-3,-6.5823,10.3186,2.53,symbiont-bearing,non-spinose,0
GeoB1008-3,-6.5823,10.3186,2.53,symbiont-bearing,spinose,0.0087
GeoB1008-3,-6.5823,10.3186,2.53,symbiont-facultative,non-spinose,0.137
GeoB1008-3,-6.5823,10.3186,2.53,symbiont-facultative,spinose,0
GeoB1008-3,-6.5823,10.3186,2.53,symbiont-obligate,spinose,0.2174
GeoB1008-3,-6.5823,10.3186,2.53,undetermined,non-spinose,0.013000000000000001
GeoB1008-3,-6.5823,10.3186,2.58,symbiont-barren,non-spinose,0.1473
GeoB1008-3,-6.5823,10.3186,2.58,symbiont-barren,spinose,0.2898
GeoB1008-3,-6.5823,10.3186,2.58,symbiont-bearing,non-spinose,0
GeoB1008-3,-6.5823,10.3186,2.58,symbiont-bearing,spinose,0
GeoB1008-3,-6.5823,10.3186,2.58,symbiont-facultative,non-spinose,0.1739
GeoB1008-3,-6.5823,10.3186,2.58,symbiont-facultative,spinose,0
GeoB1008-3,-6.5823,10.3186,2.58,symbiont-obligate,spinose,0.372
GeoB1008-3,-6.5823,10.3186,2.58,undetermined,non-spinose,0.014499999999999999
GeoB1008-3,-6.5823,10.3186,2.63,symbiont-barren,non-spinose,0.1854
GeoB1008-3,-6.5823,10.3186,2.63,symbiont-barren,spinose,0.40569999999999995
GeoB1008-3,-6.5823,10.3186,2.63,symbiont-bearing,non-spinose,0
GeoB1008-3,-6.5823,10.3186,2.63,symbiont-bearing,spinose,0.005
GeoB1008-3,-6.5823,10.3186,2.63,symbiont-facultative,non-spinose,0.2204
GeoB1008-3,-6.5823,10.3186,2.63,symbiont-facultative,spinose,0
GeoB1008-3,-6.5823,10.3186,2.63,symbiont-obligate,spinose,0.1723
GeoB1008-3,-6.5823,10.3186,2.63,undetermined,non-spinose,0.0116
GeoB1016-3,-11.7705,11.6819,0.73,symbiont-barren,non-spinose,0.18479999999999996
GeoB1016-3,-11.7705,11.6819,0.73,symbiont-barren,spinose,0.2817
GeoB1016-3,-11.7705,11.6819,0.73,symbiont-bearing,non-spinose,0
GeoB1016-3,-11.7705,11.6819,0.73,symbiont-bearing,spinose,0.0078
GeoB1016-3,-11.7705,11.6819,0.73,symbiont-facultative,non-spinose,0.3224
GeoB1016-3,-11.7705,11.6819,0.73,symbiont-facultative,spinose,0
