Event,Latitude,Longitude,Depth sed,Symbiosis,Spine,Elevation,total,Relative Abundance
A15-558,8.983,51.733,0.98,symbiont-barren,non-spinose,-27895,701.4000000000001,0.26999999999999996
A15-558,8.983,51.733,0.98,symbiont-barren,spinose,-11955,300.6,0.199
A15-558,8.983,51.733,0.98,symbiont-bearing,spinose,-11955,300.6,0.039
A15-558,8.983,51.733,0.98,symbiont-facultative,non-spinose,-15940,400.8,0.254
A15-558,8.983,51.733,0.98,symbiont-obligate,spinose,-27895,701.4000000000001,0.24000000000000002
A15-558,8.983,51.733,0.98,undetermined,non-spinose,-3985,100.2,0
A156-4,34.817,-74.683,7.5,symbiont-barren,non-spinose,-21700,701.3999999999997,0.20700000000000002
A156-4,34.817,-74.683,7.5,symbiont-barren,spinose,-9300,300.5999999999999,0.11199999999999999
A156-4,34.817,-74.683,7.5,symbiont-bearing,spinose,-9300,300.5999999999999,0.063
A156-4,34.817,-74.683,7.5,symbiont-facultative,non-spinose,-12400,400.7999999999999,0.154
A156-4,34.817,-74.683,7.5,symbiont-obligate,spinose,-21700,701.3999999999997,0.46599999999999997
A156-4,34.817,-74.683,7.5,undetermined,non-spinose,-3100,100.19999999999997,0
A164-24,36.483,-69,0.75,symbiont-barren,non-spinose,-30723,699.3,0.186
A164-24,36.483,-69,0.75,symbiont-barren,spinose,-13167,299.7,0.045
A164-24,36.483,-69,0.75,symbiont-bearing,spinose,-13167,299.7,0.006
A164-24,36.483,-69,0.75,symbiont-facultative,non-spinose,-17556,399.59999999999997,0.525
A164-24,36.483,-69,0.75,symbiont-obligate,spinose,-30723,699.3,0.237
A164-24,36.483,-69,0.75,undetermined,non-spinose,-4389,99.89999999999999,0
A164-5,37.767,-71.25,1.71,symbiont-barren,non-spinose,-23303,701.4000000000001,0.396
A164-5,37.767,-71.25,1.71,symbiont-barren,spinose,-9987,300.6,0.097
A164-5,37.767,-71.25,1.71,symbiont-bearing,spinose,-9987,300.6,0.023
A164-5,37.767,-71.25,1.71,symbiont-facultative,non-spinose,-13316,400.8,0.383
