Data_Source,Latitude,Longitude,symbiont-barren non-spinose,symbiont-barren spinose,symbiont-bearing spinose,symbiont-facultative non-spinose,symbiont-obligate spinose,undetermined non-spinose,symbiont-bearing non-spinose,symbiont-facultative spinose,SST
climap1,8.983,51.733,0.27,0.199,0.039,0.254,0.24,0.0,,,
climap1,34.817,-74.683,0.207,0.112,0.063,0.154,0.466,0.0,,,21.4103927825483
climap1,36.483,-69.0,0.186,0.045,0.006,0.525,0.237,0.0,,,19.042508733388324
climap1,37.767,-71.25,0.396,0.097,0.023,0.383,0.103,0.0,,,19.770604821253194
climap1,38.133,-69.867,0.567,0.157,0.0,0.205,0.069,0.0,,,18.151426643313616
climap1,39.533,-68.783,0.31,0.176,0.023,0.401,0.091,0.0,,,16.195295994200983
climap1,31.65,-75.35,0.242,0.048,0.035,0.306,0.369,0.0,,,22.253909486920143
climap1,31.467,-76.467,0.259,0.04,0.055,0.25,0.393,0.0,,,22.544032671271353
climap1,17.233,-73.467,0.131,0.023,0.031,0.13,0.685,0.0,,,23.409664764822708
climap1,16.2,-72.317,0.151,0.022,0.062,0.184,0.582,0.0,,,22.792876991981768
climap1,33.867,-62.533,0.149,0.047,0.003,0.655,0.149,0.0,,,19.679510872163142
climap1,24.8,-75.933,0.168,0.007,0.154,0.032,0.639,0.0,,,
climap1,24.8,-75.933,0.18,0.005,0.126,0.049,0.644,0.0,,,
climap1,39.267,-36.7,0.296,0.103,0.003,0.465,0.127,0.0,,,14.64058196858743
climap1,38.35,-32.483,0.407,0.275,0.012,0.207,0.097,0.0,,,15.3985247509712
climap1,29.117,-26.25,0.185,0.024,0.024,0.252,0.518,0.0,,,17.029679364061266
climap1,25.833,-19.3,0.196,0.195,0.004,0.411,0.194,0.0,,,16.635859420973706
climap1,15.333,-17.933,0.047,0.575,0.033,0.174,0.172,0.0,,,21.917142729288848
climap1,15.317,-18.1,0.067,0.313,0.018,0.134,0.47,0.0,,,21.94946540821958
climap1,12.235,-17.767,0.133,0.445,0.015,0.143,0.264,0.0,,,
climap1,0.6,-21.783,0.247,0.028,0.003,0.598,0.127,0.0,,,22.787460882413335
climap1,0.167,-23.0,0.51,0.021,0.029,0.962,0.48,0.0,,,22.83804843502483
climap1,-0.05,-24.167,0.292,0.055,0.003,0.425,0.227,0.0,,,22.780135173763192
climap1,-0.767,-26.033,0.196,0.008,0.004,0.534,0.257,0.0,,,22.88489529854492
climap1,39.45,-45.95,0.418,0.161,0.0,0.37,0.053,0.0,,,15.200239337959962
climap1,-43.308,105.548,0.309,0.562,0.0,0.128,0.0,0.0,,,6.623354742745742
climap1,-44.877,106.518,0.358,0.471,0.0,0.167,0.005,0.0,,,5.944421172322243
climap1,-45.037,114.348,0.247,0.576,0.0,0.178,0.003,0.0,,,5.415118395580558
climap1,-41.02,100.012,0.177,0.665,0.0,0.151,0.006,0.0,,,7.975991127136457
climap1,-29.66,97.527,0.211,0.045,0.006,0.546,0.193,0.0,,,15.28434567393262
