Latitude,Longitude,Depth sed [m],Species,Absolute Abundance
67.86666,-21.765,1.1,N. pachyderma,NA
67.86666,-21.765,1.11,N. pachyderma,1127
67.86666,-21.765,1.12,N. pachyderma,914
67.86666,-21.765,1.13,N. pachyderma,826
67.86666,-21.765,1.14,N. pachyderma,1052
67.86666,-21.765,1.15,N. pachyderma,1154
67.86666,-21.765,1.16,N. pachyderma,1388
67.86666,-21.765,1.17,N. pachyderma,1729
67.86666,-21.765,1.18,N. pachyderma,1556
67.86666,-21.765,1.19,N. pachyderma,1394
67.86666,-21.765,1.2,N. pachyderma,NA
67.86666,-21.765,1.21,N. pachyderma,1090
67.86666,-21.765,1.22,N. pachyderma,908
67.86666,-21.765,1.23,N. pachyderma,581
